"","estimate","class_prob"
"1","no",0.154246479272842
"2","no",1.24224961837172e-05
"3","no",1.13709726079492e-08
"4","no",2.41682140966759e-09
"5","no",4.88831165057491e-06
"6","no",7.85979409556603e-07
"7","no",0.0596981681883335
"8","no",0.0493542179465294
"9","no",2.25010044232477e-05
"10","no",0.206211790442467
"11","no",0.172558009624481
"12","no",4.00126594968242e-07
"13","no",0.000112964436993934
"14","no",0.00194816756993532
"15","no",0.105446711182594
"16","no",0.180200859904289
"17","no",8.82013864611508e-07
"18","no",0.30564945936203
"19","no",0.0551634505391121
"20","no",3.41772277145935e-09
"21","no",3.83718523622179e-09
"22","no",0.0383818633854389
"23","no",0.0062104114331305
"24","no",0.0226976778358221
"25","no",0.11559321731329
"26","no",0.328309714794159
"27","no",0.342366486787796
"28","no",0.113776125013828
"29","no",1.10928494905238e-05
"30","no",1.51705387452239e-06
"31","no",0.11040285974741
"32","no",5.36653624294559e-06
"33","no",0.396608918905258
"34","no",0.17547407746315
"35","no",7.00726159266196e-05
"36","no",0.233693659305573
"37","no",0.318852245807648
"38","no",0.0191966537386179
"39","no",2.56212024396518e-06
"40","no",0.151199907064438
"41","no",0.163065925240517
"42","no",0.000305422581732273
"43","no",0.240939021110535
"44","no",1.78129255345993e-07
"45","no",0.0443725548684597
"46","no",0.344213843345642
"47","no",0.0166671257466078
"48","no",0.148991733789444
"49","no",0.165384754538536
"50","no",0.161536291241646
"51","no",6.5834143470056e-07
"52","no",9.82183934183922e-08
"53","no",1.47341779666021e-07
"54","no",0.0869883447885513
"55","no",0.481618732213974
"56","no",0.0245331786572933
"57","no",0.00560821173712611
"58","no",0.0830971822142601
"59","no",2.73462555924198e-05
"60","no",0.164725482463837
"61","no",5.72810085941455e-06
"62","no",0.236914739012718
"63","no",7.85907960931809e-09
"64","no",0.113510809838772
"65","no",0.101572774350643
"66","no",0.215341314673424
"67","no",0.000114922200737055
"68","no",5.88319562666584e-06
"69","no",0.0779515728354454
"70","no",3.92613469513137e-10
"71","no",2.07965913432417e-05
"72","no",0.08493722230196
"73","no",0.099409744143486
"74","no",0.0577055625617504
"75","no",6.92392518431006e-07
"76","no",0.209988430142403
"77","no",0.129198953509331
"78","no",2.53187891985363e-07
"79","no",0.204135090112686
"80","no",2.47355540494709e-08
"81","no",0.065497525036335
"82","no",1.28338569993502e-06
"83","no",0.0599728785455227
"84","no",0.260876655578613
"85","no",0.000595592951867729
"86","no",2.62924504568218e-06
"87","no",0.0834488496184349
"88","no",0.00615113181993365
"89","no",4.611524673237e-07
"90","no",0.11842043697834
"91","no",0.0593521445989609
"92","no",2.61974069104554e-08
"93","no",0.000105702165456023
"94","no",0.00061381608247757
"95","no",0.0105373403057456
"96","no",0.159724742174149
"97","no",1.90982132153295e-06
"98","no",2.47580089762778e-09
"99","no",0.000125977108837105
"100","no",0.124767437577248
"101","no",1.80348285994114e-06
"102","no",0.0279650576412678
"103","no",0.192943975329399
"104","no",0.0602237097918987
"105","no",0.130637615919113
"106","no",1.50955077060644e-06
"107","no",0.260417878627777
"108","no",0.0186293199658394
"109","no",3.15017605316825e-05
"110","no",7.21524793334538e-06
"111","no",0.215931788086891
"112","no",1.08772483145003e-05
"113","no",0.0279483813792467
"114","no",0.00141362263821065
"115","no",3.79390883153974e-07
"116","no",0.0371592380106449
"117","no",0.286336421966553
"118","no",7.29098559304475e-08
"119","no",0.487573146820068
"120","no",0.179103091359138
"121","no",0.119989857077599
"122","no",3.65963096555788e-05
"123","yes",0.595910251140594
"124","no",6.16374904893746e-07
"125","yes",0.59191620349884
"126","no",0.11842019110918
"127","no",2.16097262750736e-07
"128","no",0.00313928257673979
"129","no",0.238775730133057
"130","no",0.0354750081896782
"131","no",0.261871218681335
"132","no",0.000283600675174966
"133","no",0.0855010598897934
"134","no",7.37432515052205e-07
"135","no",1.87973029142086e-07
"136","no",0.124592743813992
"137","no",0.139563381671906
"138","no",0.0157757475972176
"139","no",0.236398860812187
"140","yes",0.635692298412323
"141","no",0.20676501095295
"142","no",1.45810020057979e-07
"143","no",2.91536689474015e-05
"144","no",0.22861647605896
"145","no",0.095723070204258
"146","no",0.00181536644231528
"147","no",0.237662672996521
"148","no",5.37937521585263e-05
"149","no",2.8379689709368e-08
"150","no",1.96092423720984e-06
"151","no",0.000789964571595192
"152","yes",0.538313388824463
"153","no",3.82545522370492e-06
"154","no",0.0347375273704529
"155","no",8.62768138176762e-05
"156","no",0.0145965162664652
"157","no",0.157363653182983
"158","no",4.00287689217294e-07
"159","no",0.198337316513062
"160","no",0.000383393024094403
"161","no",0.18511500954628
"162","no",4.54681594419526e-06
"163","no",2.45469118453912e-06
"164","no",0.134497821331024
"165","no",0.115056611597538
"166","no",0.000199444053578191
"167","no",8.4339264461164e-09
"168","no",0.158747240900993
"169","no",2.41018551605521e-06
"170","no",1.76595108314359e-07
"171","no",0.0161270070821047
"172","no",0.000940209894906729
"173","no",0.0550468564033508
"174","no",0.248159050941467
"175","no",0.014553471468389
"176","no",0.000353885669028386
"177","no",4.53372595075052e-05
"178","no",0.0891682654619217
"179","no",4.42767632193863e-05
"180","no",9.57322390604531e-06
"181","no",4.04192433052231e-05
"182","no",0.103437975049019
"183","no",0.00911165680736303
"184","no",0.164538726210594
"185","no",0.00118202879093587
"186","no",2.65999665316485e-06
"187","no",3.51309972757008e-05
"188","no",0.0405917949974537
"189","no",4.0377975096817e-07
"190","yes",0.645068049430847
"191","no",2.73659752565436e-05
"192","no",9.16561589292542e-07
"193","no",0.146460518240929
"194","no",8.39062366253529e-08
"195","no",0.00382852228358388
"196","no",0.0889552012085915
"197","no",0.0026575296651572
"198","no",4.50786319561303e-06
"199","no",0.0665471479296684
"200","no",0.204918906092644
